label,count,prob_mean,prob_std
0,1704,0.0535756644707204,0.1441323311608338
1,191,0.20626855807533753,0.27473034532253404
2,18,0.1782741158719519,0.24943375240423019
3,89,0.4614615858590067,0.3391354633253006
4,92,0.613266744016027,0.34388380358561876
